company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Apple Inc,1.0,15.0,19.0,7.0,4.0,3.0,1.0,23.0,5.0,2.0,2.0,2.0,0.0,0.0,8.0,54.0,2.0,12.0,3.0,4.0,21.0,28.0
Convida Wireless LLC,0.0,12.0,0.0,12.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,6.0,3.0,0.0,29.0,5.0,22.0,2.0,6.0,0.0,11.0,1.0
Huawei Technologies Co Ltd,9.0,39.0,12.0,24.0,16.0,3.0,0.0,55.0,5.0,0.0,2.0,10.0,3.0,9.0,23.0,19.0,3.0,18.0,10.0,5.0,24.0,55.0
Intel Corp,10.0,35.0,15.0,12.0,14.0,7.0,4.0,14.0,20.0,7.0,5.0,3.0,22.0,8.0,20.0,28.0,39.0,15.0,40.0,21.0,38.0,13.0
LG Electronics Inc,1.0,9.0,1.0,8.0,2.0,4.0,0.0,23.0,6.0,1.0,3.0,11.0,0.0,5.0,8.0,46.0,2.0,3.0,3.0,3.0,12.0,82.0
MediaTek Inc,4.0,21.0,13.0,7.0,6.0,0.0,2.0,28.0,2.0,1.0,6.0,5.0,2.0,1.0,4.0,35.0,1.0,5.0,2.0,4.0,12.0,37.0
MediaTek Singapore Pte Ltd,2.0,16.0,10.0,3.0,3.0,1.0,0.0,6.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,23.0,0.0,3.0,0.0,0.0,11.0,16.0
Micron Technology Inc,0.0,4.0,4.0,6.0,36.0,0.0,0.0,0.0,134.0,5.0,0.0,13.0,4.0,0.0,1.0,1.0,1.0,12.0,1.0,4.0,2.0,0.0
Microsoft Technology Licensing LLC,1.0,8.0,9.0,8.0,6.0,6.0,0.0,3.0,3.0,6.0,3.0,8.0,4.0,0.0,5.0,4.0,24.0,5.0,18.0,13.0,10.0,1.0
NTT Docomo Inc,0.0,4.0,1.0,1.0,0.0,1.0,0.0,29.0,4.0,0.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,9.0,0.0,2.0,3.0,47.0
Nokia Technologies Oy,2.0,8.0,2.0,6.0,2.0,6.0,1.0,10.0,1.0,5.0,3.0,10.0,3.0,0.0,12.0,17.0,4.0,7.0,5.0,3.0,29.0,22.0
Qualcomm Inc,13.0,80.0,52.0,33.0,21.0,114.0,3.0,224.0,18.0,16.0,12.0,35.0,11.0,15.0,25.0,649.0,11.0,84.0,18.0,18.0,87.0,524.0
Samsung Electronics Co Ltd,18.0,25.0,15.0,33.0,21.0,13.0,36.0,29.0,89.0,40.0,37.0,227.0,22.0,116.0,57.0,33.0,351.0,48.0,26.0,107.0,51.0,82.0
Sharp Corp,1.0,1.0,0.0,1.0,2.0,2.0,0.0,16.0,1.0,0.0,0.0,9.0,0.0,0.0,9.0,7.0,0.0,1.0,1.0,0.0,3.0,24.0
Sony Corp,3.0,22.0,26.0,6.0,2.0,3.0,1.0,20.0,3.0,4.0,1.0,11.0,0.0,5.0,7.0,16.0,8.0,9.0,0.0,11.0,8.0,15.0
Telefonaktiebolaget LM Ericsson AB,11.0,107.0,14.0,21.0,9.0,10.0,2.0,92.0,11.0,5.0,2.0,12.0,3.0,0.0,17.0,89.0,6.0,30.0,13.0,8.0,58.0,94.0
