company,count,count_log
Qualcomm Inc,2696,7.899524472032198
Samsung Electronics Co Ltd,2229,7.709308333385869
Huawei Technologies Co Ltd,1832,7.513163545234075
Telefonaktiebolaget LM Ericsson AB,900,6.802394763324311
Shenzhen Shenglu IoT Communication Technology Co Ltd,656,6.486160788944089
Intel Corp,636,6.455198563340122
Shanghai Langbo Communication Technology Co Ltd,597,6.391917113392602
Apple Inc,513,6.240275845170769
Xian Irain IoT Technology Service Co Ltd,500,6.214608098422191
China Mobile Communications Group Co Ltd,433,6.07073772800249
NTT Docomo Inc,427,6.056784013228625
ZTE Corp,411,6.018593214496234
LG Electronics Inc,382,5.945420608606575
Jiangsu IoT Research and Development Center,370,5.91350300563827
Chengdu Qinchuan IoT Technology Co Ltd,365,5.8998973535824915
