company,count,count_log
Intel Corp,442,6.091309882077698
Samsung Electronics Co Ltd,147,4.990432586778736
Intel IP Corp,89,4.48863636973214
Apple Inc,73,4.290459441148391
Robert Bosch GmbH,58,4.060443010546419
LG Electronics Inc,38,3.6375861597263857
Siemens AG,30,3.4011973816621555
Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV,28,3.332204510175204
Sony Corp,24,3.1780538303479458
Deutsche Telekom AG,24,3.1780538303479458
Hewlett Packard Enterprise Development LP,24,3.1780538303479458
Hyundai Motor Co,23,3.1354942159291497
Motional AD LLC,22,3.091042453358316
International Business Machines Corp,22,3.091042453358316
Giesecke and Devrient Mobile Security GmbH,22,3.091042453358316
