company,count,count_log
Qualcomm Inc,5795,8.664750755773852
Samsung Electronics Co Ltd,3961,8.284251797621916
Intel Corp,2158,7.67693714581808
Telefonaktiebolaget LM Ericsson AB,1588,7.370230641807081
International Business Machines Corp,1569,7.358193752733032
LG Electronics Inc,1511,7.32052696227274
Cisco Technology Inc,1092,6.9957661563048505
Microsoft Technology Licensing LLC,748,6.617402977974478
Huawei Technologies Co Ltd,629,6.444131256700441
AT&T Intellectual Property I LP,540,6.29156913955832
Apple Inc,518,6.249975242259483
Nokia Technologies Oy,458,6.126869184114185
Micron Technology Inc,452,6.113682179832232
Verizon Patent and Licensing Inc,451,6.111467339502679
Sony Corp,384,5.950642552587727
