company,B41,B42,C07,C08,C09,G06,G07,H01,H04,H05,Y02
Giesecke and Devrient GmbH,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GlobalFoundries Inc,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0
GlobalFoundries US Inc,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0
INNOVATIVE OBERFLAECHENTECHNOLOGIEN GmbH,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITK Engineering GmbH,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Innovative Oberflachentechnologien GmbH,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International Business Machines Corp,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
M2C Solutions GmbH,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Merck Patent GmbH,0.0,0.0,4.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,1.0
Thomas Nickert Druckveredelung GmbH,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
