company,B41,G01,G03,G06,H01,H04,Y02
Alcatel Lucent SAS,0.0,0.0,0.0,0.0,0.0,8.0,0.0
BlackBerry Ltd,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Boeing Co,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CALABAZAS CREEK RESEARCH Inc,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Calabazas Creek Res Center Inc,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Fujifilm Business Innovation Corp,0.0,0.0,2.0,15.0,0.0,2.0,0.0
Hitachi High Tech Corp,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Intel Corp,0.0,0.0,0.0,6.0,0.0,5.0,0.0
Nokia Solutions and Networks Oy,0.0,0.0,0.0,0.0,0.0,13.0,2.0
Qualcomm Inc,0.0,0.0,0.0,0.0,0.0,20.0,0.0
SAP SE,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Samsung Electronics Co Ltd,0.0,0.0,0.0,0.0,0.0,11.0,0.0
T Mobile USA Inc,0.0,0.0,0.0,0.0,0.0,3.0,0.0
US Air Force,0.0,6.0,0.0,0.0,0.0,0.0,0.0
"United States, AS REPRENSENTED BY SECRETARY OF AIR FORCE",0.0,6.0,0.0,0.0,0.0,0.0,0.0
Xerox Corp,3.0,0.0,3.0,9.0,0.0,6.0,0.0
ZTE Corp,0.0,0.0,0.0,0.0,0.0,4.0,0.0
