company,cpc,country
Intel,1.5763711238867337,1.3050661246699407
Robert Bosch GmbH,1.3213756487867259,1.1954838401576482
Apple,2.7702034826935518,2.8857874476770045
LG Electronics,2.76846671609988,2.9067644591712574
Hyundai Mobis,2.68158119167188,2.907947691084712
Vega Grieshaber KG,2.680701653253642,2.912511585608039
Hewlett Packard Enterprise Development LP,3.504100907846981,3.646415424503261
TSMC,3.743822990070323,3.6257780159348183
Toyota Motor,3.414574624057251,3.588944160135445
Hyundai Motor Co,4.4961430028311655,4.725385618365504
Kia,4.4961430028311655,4.725385618365504
Siemens AG,4.822548530717377,4.731420101124124
Suzhou_JZ,6.2688492245924605,6.505230195613658
Suzhou_JZ_net,6.2688492245924605,6.505230195613658
