company,cpc,country
Qualcomm,1.4499689337079165,1.2356968594650528
Intel,0.6074341266091022,0.5597299202935568
LG Electronics,0.8903362392013936,0.8674243852658945
IBM,1.2953401003147362,1.421247395239537
Huawei Technologies,1.867155743762961,1.5914030040464437
Micron Technology,2.0978724408825027,2.1985331629335856
AT&T,2.471949991122549,2.4000139386439545
Cisco Systems,2.544319583730907,2.438643496440976
Verizon Communications,2.903063966515652,2.8106469298126355
Microsoft,3.248622708916999,3.2822506377319747
T_Mobile_USA,5.031774058140984,4.875357929979844
Shanghai_Langbo,5.837899890574922,5.602411895626067
Nokia,5.7874076583517216,5.554952477204637
EMC,5.8174009750223465,5.844838685664649
