id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-112012005419-B4,System und Verfahren f?r eine effiziente dienstinstanzenorientierte Energieverwaltung im Internet der Dinge ,Globalfoundries Inc.,"Chi Liu, Qi Yu, Zhentan Feng, Bo Yang, Zhanwei Sun",2011/12/23,2012/10/31,2019/7/18,2019/7/18,https://patents.google.com/patent/DE112012005419B4/de,https://patentimages.storage.googleapis.com/f7/1f/92/7fa98ee732ca3b/DE112012005419B4_0025.png
DE-102012022880-A1,Elektronische Vorrichtungen enthaltend organische Schichten ,Merck Patent Gmbh,"Ren? Peter Scheurich, Junyou Pan, Amir Hossain Parham, Thomas Rudolph",2011/12/22,2012/11/23,2013/6/27,,https://patents.google.com/patent/DE102012022880A1/de,
DE-102012222022-B4,Quasidynamischer zugriff auf frequenzen f?r anwendungen im internet der dinge (i0t) ,International Business Machines Corporation,"Ting He, Kang-won Lee, Yonghua Lin, Qing Wang, Murtaza Zafer, Hai Zhan",2011/12/16,2012/12/3,2020/1/30,2020/1/30,https://patents.google.com/patent/DE102012222022B4/de,https://patentimages.storage.googleapis.com/f9/8a/96/20e4c9855d83c4/DE102012222022B4_0001.png
DE-112010006087-T5,"Architektur zum Testen, zur Validierung und zur Fehlerbereinigung ",Intel Corporation,"Kreshavan Tiruvallur, Christian Lovin, David Grawrock, Evan J. Halprin, Jiun Long Foo, Wee Hoo Cheah, Vui Yong, Yen Tat Lee, Kip Killpack, Niel Dobler, Nagib Z. Hakim, Michael T. White, Brian Meyer, Russ Wunderlich, Anthony Kozaczuk, Kyle Markley, Loren McConnell, Lyle Cool, Rahima Mohammed, Tieyu Zheng, Chinna Prudvi, Selvakumar Raja Gopal, Bill Penner, Tim Storey, Mukesh Kataria, Ridvan Saha, Travis Goff, John Baudrexl, James Grealish, Amy Xia, Samie B Samaan, Kapila Udawatta, Ashok Kabadi, Jay Nejedlo, Mark Trobough",2010/12/23,2010/12/23,2014/6/26,,https://patents.google.com/patent/DE112010006087T5/de,https://patentimages.storage.googleapis.com/a3/ab/ad/56f872d189e809/DE112010006087T5_0002.png
DE-102012218966-B4,Verfahren und System zum Kennzeichnen von durch Dinge im Internet der Dinge erzeugten Originaldaten ,International Business Machines Corporation,"Xian Wu, Keke Cai, Li Zhang, Li Jun Xia, Jian Yao, Shuo Zhang, Zhong Su",2011/10/31,2012/10/18,2018/7/12,2018/7/12,https://patents.google.com/patent/DE102012218966B4/de,https://patentimages.storage.googleapis.com/5f/04/76/16f797fcf5a23c/DE102012218966B4_0011.png
DE-102012211210-B4,Gemeinsame Frequenznutzung in einem auf dem OFDM-Verfahren beruhenden Funk-Datenaustauschsystem ,International Business Machines Corporation,"Qing Wang, Jianbin Tang, Rong Yan, Zhen Bo Zhu, Yonghua Lin, Hai Zhan, Jun Song Wang, Chao Zhu",2011/6/30,2012/6/28,2016/2/25,2016/2/25,https://patents.google.com/patent/DE102012211210B4/de,https://patentimages.storage.googleapis.com/6e/3f/21/0ff3eb495fcb92/DE102012211210B4_0003.png
DE-112012005533-B4,Unterst?tzende Abfrage und ein Abfragen ,International Business Machines Corporation,"Li Li, Qi Yu, Chi Liu, Juwei Shi",2011/12/30,2012/10/31,2020/6/18,2020/6/18,https://patents.google.com/patent/DE112012005533B4/de,https://patentimages.storage.googleapis.com/12/cf/8f/ded50f203a863e/DE112012005533B4_0001.png
DE-102011107313-A1,Isolierter Hochtemperatur-Bandsupraleiter und Verfahren zu seiner Herstellung ,Karlsruher Institut f?r Technologie,"J?rg Brand, Steffen Elschner, Stefan Fink, Dr. Goldacker Wilfried, Kudymow Andrej",2011/7/6,2011/7/6,2013/1/10,,https://patents.google.com/patent/DE102011107313A1/de,https://patentimages.storage.googleapis.com/e8/6e/40/5dc0ee2e3474a2/00100001.png
DE-112013002233-T5,"System, Verfahren und Programmprodukt zum Bereitstellen von f?r Bev?lkerungsbewegung empfindlichen Wettervorhersagen ",International Business Machines Corporation,"c/o IBM Corporation Dias de Assuncao Marcos, c/o IBM Corporation da Costa Flach Bruno, c/o IBM Japan Imamichi Takashi, c/o IBM Corporation Stelmar Netto Marco Aurelio, c/o IBM Japan Rudy Raymond Harry, c/o IBM Corporation de Cerqueira Gatti Maira Athanazio",2012/4/26,2013/4/8,2015/1/15,,https://patents.google.com/patent/DE112013002233T5/de,https://patentimages.storage.googleapis.com/79/19/f2/1e63aa63f16a43/DE112013002233T5_0002.png
DE-102014223155-A1,Proxy-Vorrichtung f?r ein Netzwerk von Vorrichtungen ,Broadcom Corporation,"Nicholas Ilyadis, John Stuart Walley, Stephen Wilson Bailey, Wael William Diab",2013/11/14,2014/11/13,2015/5/21,,https://patents.google.com/patent/DE102014223155A1/de,https://patentimages.storage.googleapis.com/a9/c1/75/d0f299bc295f68/DE102014223155A1_0002.png
DE-102014223157-A1,Hierarchische Verwaltung von Ger?ten ,Broadcom Corporation,"John Stuart Walley, Nicholas Ilyadis, Stephen Wilson Bailey, Wael William Diab",2013/11/14,2014/11/13,2015/5/21,,https://patents.google.com/patent/DE102014223157A1/de,https://patentimages.storage.googleapis.com/a5/3f/f6/5e07ea2e3e5d9d/DE102014223157A1_0002.png
DE-102013103283-B4,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betreiben der Drahtlos-Kommunikationseinrichtung ,Intel Deutschland Gmbh,"Francois Deparis, Bruno Jechoux, Matthias Hofmann, Volker Aue",2012/4/2,2013/4/2,2018/9/20,2018/9/20,https://patents.google.com/patent/DE102013103283B4/de,https://patentimages.storage.googleapis.com/e6/ad/85/8d32adf2da41d6/DE102013103283B4_0001.png
DE-102013103270-B4,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betrieb der Drahtlos-Kommunikationseinrichtung ,Intel Deutschland Gmbh,"Bernd Schmandt, Bruno Jechoux, Francois Deparis, Matthias Hofmann, Volker Aue",2012/4/2,2013/4/2,2021/2/11,2021/2/11,https://patents.google.com/patent/DE102013103270B4/de,https://patentimages.storage.googleapis.com/bd/fd/40/e5716f96a5143f/DE102013103270B4_0005.png
DE-102014101562-B4,Funkkommunikationseinrichtung und verfahren zum betrieb einer funkkommunikationseinrichtung ,Intel Deutschland Gmbh,"Lars Persson, Bruno Jechoux",2013/3/15,2014/2/7,2017/3/2,2017/3/2,https://patents.google.com/patent/DE102014101562B4/de,https://patentimages.storage.googleapis.com/76/6f/80/b578a4525922a4/DE102014101562B4_0006.png
DE-102013202059-B4,LADEINFRASTRUKTUR F?R ELEKTROFAHRZEUGE (EVs) MIT OPTIMALER STANDORTWAHL F?R LADESTATIONEN ,International Business Machines Corporation,"Jing D. Dai, Ajay A. Deshpande, Younghun Kim, Ming Li, Pavankumar Murali, Sambit Sahu",2012/2/23,2013/2/8,2018/1/18,2018/1/18,https://patents.google.com/patent/DE102013202059B4/de,https://patentimages.storage.googleapis.com/49/c3/09/0f3682f8cc22e6/DE102013202059B4_0034.png
DE-102014223156-A1,Treffen von auf Richtlinien basierenden Entscheidungen in einem Netzwerk ,Broadcom Corporation,"John Stuart Walley, Nicholas Ilyadis, Stephen Wilson Bailey, Wael William Diab",2013/11/14,2014/11/13,2015/5/21,,https://patents.google.com/patent/DE102014223156A1/de,https://patentimages.storage.googleapis.com/e9/87/97/5f79c289886e4f/DE102014223156A1_0002.png
DE-202014010968-U1,Lastausgleich an einem drahtlosen Zugangspunkt ,"Cable Television Laboratories, Inc.",,2013/12/13,2014/12/13,2017/2/7,,https://patents.google.com/patent/DE202014010968U1/de,https://patentimages.storage.googleapis.com/dd/f4/c7/d18328fcf8345c/DE202014010968U1_0003.png
DE-102013103262-A1,Funkkommunikationsvorrichtung und Verfahren zum Betreiben einer Funkkommunikationsvorrichtung ,Intel Mobile Communications GmbH,"Bruno Jechoux, Francois Deparis, Jeff Davis, Lars Persson, Itzik Shahar",2012/4/2,2013/4/2,2013/10/2,,https://patents.google.com/patent/DE102013103262A1/de,https://patentimages.storage.googleapis.com/67/d4/82/a649e1a7799b05/01340001.png
DE-102013103265-A1,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betreiben einer Drahtlos-Kommunikationseinrichtung ,Intel Mobile Communications GmbH,"Bruno Jechoux, Francois Deparis, Matthias Hofmann, Volker Aue",2012/4/2,2013/4/2,2013/10/2,,https://patents.google.com/patent/DE102013103265A1/de,https://patentimages.storage.googleapis.com/72/a6/bf/961a336dd52e38/01220001.png
DE-102013015167-A1,Verfahren zum Filtern von Kandidatenzellen ,Intel IP Corporation,"Wen Xu, Xiaojun Ma",2013/9/11,2013/9/11,2015/3/12,,https://patents.google.com/patent/DE102013015167A1/de,https://patentimages.storage.googleapis.com/62/04/7b/9607b7ccc7b83f/DE102013015167A1_0023.png
DE-102013104564-A1,Drahtlos-Kommunikationseinrichtung und Verfahren zum Steuern einer Drahtlos-Kommunikationseinrichtung ,Intel Mobile Communications GmbH,Bruno Jechoux,2012/5/3,2013/5/3,2013/11/7,,https://patents.google.com/patent/DE102013104564A1/de,https://patentimages.storage.googleapis.com/65/37/1f/95e603ea030096/01240001.png
DE-102013103275-A1,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betreiben einer Drahtlos-Kommunikationseinrichtung ,Intel Mobile Communications GmbH,"Bruno Jechoux, Francois Deparis, Matthias Hofmann, Volker Aue",2012/4/2,2013/4/2,2013/10/2,,https://patents.google.com/patent/DE102013103275A1/de,https://patentimages.storage.googleapis.com/12/fd/d9/4200f669c734be/01250001.png
DE-102012021919-B4,Modell-basiertes Effizienz-Scoring in der Automobiltechnik ,"ITK Engineering AG, M2C Solutions Gmbh","Christian Robl, Michael ENGLERT",2012/11/9,2012/11/9,2014/10/30,2014/10/30,https://patents.google.com/patent/DE102012021919B4/de,https://patentimages.storage.googleapis.com/dd/11/b5/ea9c0ac5688c83/DE102012021919B4_0002.png
DE-112013003205-T5,Verfahren und Vorrichtung zum Verarbeiten von Datenbankdaten in einem verteilten Datenbanksystem ,International Business Machines Corporation,"c/o IBM Corp. Zou Jia, c/o IBM Corp. Yang Bo, c/o IBM Corp. Wang Kun, c/o IBM Corp. Chen Guancheng, c/o IBM Corp. Shi Juwei",2012/6/29,2013/6/14,2015/4/2,,https://patents.google.com/patent/DE112013003205T5/de,https://patentimages.storage.googleapis.com/32/55/fc/48c077f69bfe3b/DE112013003205T5_0002.png
DE-102012008932-A1,Wertdokumente mit Schutzbeschichtung und Verfahren zu ihrer Herstellung ,Giesecke & Devrient Gmbh,"Katharina Reichel, Patrick RENNER",2012/5/4,2012/5/4,2013/11/7,,https://patents.google.com/patent/DE102012008932A1/de,https://patentimages.storage.googleapis.com/e4/3c/ba/a0e0d459d00231/00450001.png
DE-102013224068-A1,"Elektronisches Modul, Verfahren zum Betreiben eines solchen elektronischen Moduls und Verfahren zum Herstellen eines solchen elektronischen Moduls ",Robert Bosch Gmbh,"Tjalf Pirk, Ricardo Ehrenpfordt, Frederik ANTE, Johannes Kenntner",2013/11/26,2013/11/26,2015/5/28,,https://patents.google.com/patent/DE102013224068A1/de,https://patentimages.storage.googleapis.com/ae/b6/a1/734ed56084bab7/DE102013224068A1_0002.png
DE-102013206689-A1,Sensor und Verfahren zum Herstellen eines Sensors ,Robert Bosch Gmbh,"Ricardo Ehrenpfordt, Mathias Bruendel, Frederik ANTE, Johannes Kenntner",2013/4/15,2013/4/15,2014/10/16,,https://patents.google.com/patent/DE102013206689A1/de,https://patentimages.storage.googleapis.com/bc/8b/01/4c5e0f1586e2c9/DE102013206689A1_0002.png
DE-102013000792-A1,Emissionsarmes Fl?chengebilde ,Armstrong DLW GmbH,"Elke Schweers, Dr. Ehlers Jens, Oliver Reichel, Prof. Dr. Mehnert Reiner",2013/1/17,2013/1/17,2014/7/17,,https://patents.google.com/patent/DE102013000792A1/de,
DE-102013105587-A1,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betreiben einer Drahtlos-Kommunikationseinrichtung ,Intel Mobile Communications GmbH,"Bruno Jechoux, Christian Drewes",2012/5/30,2013/5/30,2013/12/5,,https://patents.google.com/patent/DE102013105587A1/de,https://patentimages.storage.googleapis.com/93/2e/4f/220a142dea9941/01220001.png
DE-102013005741-B3,Vorrichtung zur Inertisierung bei UV-Bestrahlung in offenen Durchlaufanlagen ,IOT - Innovative Oberfl?chentechnologien GmbH,"Prof. Dr. Mehnert Reiner, Dr. Riedel Carsten, Dr. Schubert Rolf",2013/4/5,2013/4/5,2014/5/22,2014/5/22,https://patents.google.com/patent/DE102013005741B3/de,https://patentimages.storage.googleapis.com/72/10/4f/f9b359a3c8c5fb/DE102013005741B3_0002.png
DE-102014116401-A1,Verfahren zum ?bersetzen einer Entit?t in Dinge auf der Grundlage eines Web und einer Maschine-Maschine-Kommunikationsvorrichtung ,Electronics And Telecommunications Research Institute,"Myung Nam BAE, Hyo Chan BANG",2013/11/20,2014/11/11,2015/5/21,,https://patents.google.com/patent/DE102014116401A1/de,https://patentimages.storage.googleapis.com/4c/e7/dc/fe832a78b14ff4/DE102014116401A1_0002.png
DE-102013218840-A1,Mikroheizplattenvorrichtung und Sensor mit einer Mikroheizplattenvorrichtung ,Robert Bosch Gmbh,"Richard Fix, Christoph Schelling",2013/9/19,2013/9/19,2015/3/19,,https://patents.google.com/patent/DE102013218840A1/de,https://patentimages.storage.googleapis.com/ac/75/b4/c7c66ce72d096a/DE102013218840A1_0003.png
DE-102013106072-B4,Zusammenf?hrungsvorrichtung f?r die Funk?berwachung ,Electronics And Telecommunications Research Institute,"Gwangmoon PARK, Yong-Seok Choi, Sang-tae Kim, Haeng-Sook Ro, Seong-Yun Lee, Mi-Kyung SUK",2012/6/21,2013/6/12,2019/3/28,2019/3/28,https://patents.google.com/patent/DE102013106072B4/de,https://patentimages.storage.googleapis.com/61/bc/a0/e2ee3be9b7221f/DE102013106072B4_0001.png
DE-102012008789-A1,Polymeroberfl?chen mit erh?hter Oberfl?chenenergie und Verfahren zur Herstellung derselben ,"Innovative Oberfl?chentechnologien GmbH, Thomas Nickert Druckveredelung GmbH","Prof. Dr. Mehnert Reiner, Herbert Prei?ler, Dr. Riedel Carsten, Thomas Nickert",2012/5/7,2012/5/7,2013/11/7,,https://patents.google.com/patent/DE102012008789A1/de,https://patentimages.storage.googleapis.com/95/5b/91/35c130e49860bd/00110001.png
DE-102013105589-A1,Drahtlos-Kommunikationseinrichtung und Verfahren zum Betreiben einer Drahtlos-Kommunikationseinrichtung ,Intel Mobile Communications GmbH,"Bruno Jechoux, Christian Drewes",2012/5/30,2013/5/30,2013/12/5,,https://patents.google.com/patent/DE102013105589A1/de,https://patentimages.storage.googleapis.com/98/8e/1d/e94044a7e0d91f/01440001.png
DE-102016207736-A1,Verfahren zur gemeinsamen Nutzung eines Schl?ssels zwischen Ger?ten unter Verwendung einer physikalischen Zugriffsbeschr?nkung ,"Research & Business Foundation Sungkyunkwan University, Samsung Electronics Co., Ltd.","Sang Hoon Jeon, Hyoung Shick KIM, Min Soo Kim, Jun Sung CHO, Kyung Won Park, Jae Gwan YU",2015/5/9,2016/5/4,2016/11/17,,https://patents.google.com/patent/DE102016207736A1/de,https://patentimages.storage.googleapis.com/b2/ef/a4/8db46dc968cc0e/DE102016207736A1_0002.png
DE-112016006073-T5,Techniken zum managen von sensorkonflikten ,Intel Corporation,"Tobias M. Kohlenberg, Brian D. Johnson, John C. Weast",2015/12/26,2016/11/23,2018/10/4,,https://patents.google.com/patent/DE112016006073T5/de,https://patentimages.storage.googleapis.com/00/05/5e/df3506b47678c9/DE112016006073T5_0001.png
